# Gene	Protein
ENSG00000198888	ENSP00000354687
ENSG00000102265	ENSP00000405380
ENSG00000102265	ENSP00000410983
ENSG00000267477	ENSP00000466387
ENSG00000150977	ENSP00000280571
ENSG00000171421	ENSP00000423152
ENSG00000171421	ENSP00000427152
ENSG00000171421	ENSP00000423399
ENSG00000171421	ENSP00000372093
ENSG00000171421	ENSP00000424366
ENSG00000147604	ENSP00000379731
ENSG00000147604	ENSP00000339795
ENSG00000147604	ENSP00000379730
ENSG00000147604	ENSP00000379729
ENSG00000147604	ENSP00000415808
ENSG00000147604	ENSP00000401300
ENSG00000110324	ENSP00000227752
ENSG00000110324	ENSP00000435317
ENSG00000110324	ENSP00000436328
ENSG00000061676	ENSP00000355348
ENSG00000061676	ENSP00000354251
ENSG00000132781	ENSP00000437093
ENSG00000132781	ENSP00000431264
ENSG00000132781	ENSP00000361176
ENSG00000132781	ENSP00000409718
ENSG00000132781	ENSP00000407590
ENSG00000132781	ENSP00000346354
ENSG00000132781	ENSP00000433843
ENSG00000132781	ENSP00000347685
ENSG00000132781	ENSP00000361170
ENSG00000132781	ENSP00000436597
ENSG00000132781	ENSP00000361182
ENSG00000132781	ENSP00000361187
ENSG00000132781	ENSP00000432330
ENSG00000132781	ENSP00000431292
ENSG00000132781	ENSP00000435889
ENSG00000132781	ENSP00000432528
ENSG00000132781	ENSP00000436430
ENSG00000132781	ENSP00000433130
ENSG00000132781	ENSP00000410263
ENSG00000132781	ENSP00000434985
ENSG00000132781	ENSP00000437166
ENSG00000132781	ENSP00000403655
ENSG00000132781	ENSP00000436478
ENSG00000132781	ENSP00000431568
ENSG00000132781	ENSP00000436469
ENSG00000132781	ENSP00000408176
ENSG00000174226	ENSP00000312368
ENSG00000174226	ENSP00000429110
ENSG00000174226	ENSP00000405024
ENSG00000174226	ENSP00000428210
ENSG00000174226	ENSP00000428855
ENSG00000174226	ENSP00000428262
ENSG00000175497	ENSP00000391092
ENSG00000175497	ENSP00000386565
ENSG00000175497	ENSP00000387038
ENSG00000175497	ENSP00000376854
ENSG00000175497	ENSP00000376855
ENSG00000175497	ENSP00000309066
ENSG00000175497	ENSP00000408535
ENSG00000175497	ENSP00000402499
ENSG00000109079	ENSP00000440749
ENSG00000109079	ENSP00000464637
ENSG00000109079	ENSP00000226225
ENSG00000109079	ENSP00000464515
ENSG00000109079	ENSP00000466301
ENSG00000187258	ENSP00000370965
ENSG00000187258	ENSP00000434955
ENSG00000187258	ENSP00000353788
ENSG00000187258	ENSP00000379402
ENSG00000187258	ENSP00000370953
ENSG00000187258	ENSP00000370955
ENSG00000187258	ENSP00000352839
ENSG00000187258	ENSP00000433258
ENSG00000187258	ENSP00000370950
ENSG00000138750	ENSP00000425243
ENSG00000138750	ENSP00000264883
ENSG00000138750	ENSP00000426609
ENSG00000138750	ENSP00000421304
ENSG00000138750	ENSP00000424172
ENSG00000138750	ENSP00000421932
ENSG00000138750	ENSP00000424389
ENSG00000211785	ENSP00000445405
ENSG00000148357	ENSP00000485357
ENSG00000148357	ENSP00000485578
ENSG00000148357	ENSP00000387564
ENSG00000148357	ENSP00000481543
ENSG00000164796	ENSP00000345799
ENSG00000164796	ENSP00000297405
ENSG00000164796	ENSP00000341558
ENSG00000164796	ENSP00000412263
ENSG00000278259	ENSP00000479518
ENSG00000278259	ENSP00000480125
ENSG00000278259	ENSP00000481514
ENSG00000278259	ENSP00000478437
ENSG00000278259	ENSP00000479711
ENSG00000278259	ENSP00000479433
ENSG00000278259	ENSP00000477559
ENSG00000278259	ENSP00000479566
ENSG00000278259	ENSP00000478381
ENSG00000278259	ENSP00000482828
ENSG00000278259	ENSP00000482079
ENSG00000278259	ENSP00000479838
ENSG00000187736	ENSP00000387290
ENSG00000187736	ENSP00000349313
ENSG00000187736	ENSP00000408966
ENSG00000187736	ENSP00000394896
ENSG00000187736	ENSP00000407201
ENSG00000187736	ENSP00000408421
ENSG00000148832	ENSP00000278060
ENSG00000148832	ENSP00000349847
ENSG00000148832	ENSP00000348654
ENSG00000148832	ENSP00000434550
ENSG00000148832	ENSP00000432737
ENSG00000148832	ENSP00000432517
ENSG00000148832	ENSP00000435514
ENSG00000148832	ENSP00000357527
ENSG00000102181	ENSP00000489222
ENSG00000102181	ENSP00000359403
ENSG00000102181	ENSP00000347275
ENSG00000102181	ENSP00000417697
ENSG00000102181	ENSP00000489166
ENSG00000102181	ENSP00000391821
ENSG00000102181	ENSP00000480322
ENSG00000102181	ENSP00000394858
ENSG00000241973	ENSP00000255882
ENSG00000241973	ENSP00000382162
ENSG00000241973	ENSP00000402437
ENSG00000149179	ENSP00000436595
ENSG00000149179	ENSP00000432186
ENSG00000149179	ENSP00000278460
ENSG00000149179	ENSP00000367881
ENSG00000149179	ENSP00000378844
ENSG00000149179	ENSP00000437259
ENSG00000149179	ENSP00000367878
ENSG00000149179	ENSP00000434380
ENSG00000149179	ENSP00000432535
ENSG00000149179	ENSP00000436097
ENSG00000149179	ENSP00000436571
ENSG00000149179	ENSP00000433494
ENSG00000149179	ENSP00000433707
ENSG00000231617	ENSP00000394108
ENSG00000231617	ENSP00000404623
ENSG00000231617	ENSP00000412433
ENSG00000231617	ENSP00000412177
ENSG00000231617	ENSP00000406649
ENSG00000231617	ENSP00000484830
ENSG00000171984	ENSP00000368263
ENSG00000171984	ENSP00000305875
ENSG00000171984	ENSP00000399331
ENSG00000171984	ENSP00000410534
ENSG00000154309	ENSP00000284476
ENSG00000214107	ENSP00000368264
ENSG00000214107	ENSP00000380681
ENSG00000214107	ENSP00000380683
ENSG00000275003	ENSP00000486829
ENSG00000275003	ENSP00000481175
ENSG00000275003	ENSP00000486480
ENSG00000275003	ENSP00000486856
ENSG00000275003	ENSP00000486384
ENSG00000275003	ENSP00000485690
ENSG00000165280	ENSP00000351777
ENSG00000165280	ENSP00000392088
ENSG00000165280	ENSP00000399456
ENSG00000143379	ENSP00000435922
ENSG00000143379	ENSP00000271640
ENSG00000143379	ENSP00000409379
ENSG00000143379	ENSP00000357958
ENSG00000143379	ENSP00000436148
ENSG00000143379	ENSP00000357965
ENSG00000143379	ENSP00000357959
ENSG00000143379	ENSP00000432348
ENSG00000143379	ENSP00000357960
ENSG00000143379	ENSP00000407831
ENSG00000269881	ENSP00000471331
ENSG00000109184	ENSP00000425644
ENSG00000109184	ENSP00000334625
ENSG00000109184	ENSP00000370850
ENSG00000109184	ENSP00000421127
ENSG00000109184	ENSP00000425792
ENSG00000109184	ENSP00000423808
ENSG00000109184	ENSP00000424476
ENSG00000109184	ENSP00000421699
ENSG00000109184	ENSP00000426982
ENSG00000109184	ENSP00000422711
ENSG00000109184	ENSP00000426048
ENSG00000109184	ENSP00000423794
ENSG00000109184	ENSP00000389900
ENSG00000168389	ENSP00000361898
ENSG00000168389	ENSP00000407606
ENSG00000168389	ENSP00000361895
ENSG00000168389	ENSP00000391261
ENSG00000144554	ENSP00000287647
ENSG00000144554	ENSP00000402166
ENSG00000144554	ENSP00000398754
ENSG00000144554	ENSP00000399354
ENSG00000144554	ENSP00000389936
ENSG00000144554	ENSP00000373318
ENSG00000144554	ENSP00000486945
ENSG00000171786	ENSP00000302189
ENSG00000169862	ENSP00000307134
ENSG00000169862	ENSP00000421093
ENSG00000169862	ENSP00000426510
ENSG00000169862	ENSP00000421000
ENSG00000169862	ENSP00000426887
ENSG00000169862	ENSP00000422389
ENSG00000169862	ENSP00000426625
ENSG00000169862	ENSP00000424296
ENSG00000169862	ENSP00000391155
ENSG00000158869	ENSP00000356971
ENSG00000158869	ENSP00000289902
ENSG00000158473	ENSP00000357153
ENSG00000261862	ENSP00000461651
ENSG00000231135	ENSP00000404318
ENSG00000231135	ENSP00000410383
ENSG00000231135	ENSP00000392833
ENSG00000231135	ENSP00000414163
ENSG00000231135	ENSP00000405806
ENSG00000231135	ENSP00000448232
ENSG00000162576	ENSP00000307887
ENSG00000162576	ENSP00000399229
ENSG00000162576	ENSP00000436135
ENSG00000162576	ENSP00000344998
ENSG00000197165	ENSP00000433075
ENSG00000197165	ENSP00000435271
ENSG00000197165	ENSP00000338742
ENSG00000197165	ENSP00000435358
ENSG00000197165	ENSP00000378992
ENSG00000163607	ENSP00000373176
ENSG00000163607	ENSP00000373175
ENSG00000163607	ENSP00000295864
ENSG00000163607	ENSP00000418877
ENSG00000163607	ENSP00000418261
ENSG00000163607	ENSP00000417632
ENSG00000163607	ENSP00000418514
ENSG00000163607	ENSP00000478813
ENSG00000163607	ENSP00000478184
ENSG00000182968	ENSP00000330218
ENSG00000108654	ENSP00000440276
ENSG00000108654	ENSP00000464566
ENSG00000108654	ENSP00000225792
ENSG00000108654	ENSP00000403085
ENSG00000108654	ENSP00000462885
ENSG00000108654	ENSP00000464659
ENSG00000108654	ENSP00000462222
ENSG00000108654	ENSP00000463975
ENSG00000108654	ENSP00000464337
ENSG00000108654	ENSP00000464304
ENSG00000108654	ENSP00000464064
ENSG00000108654	ENSP00000463541
ENSG00000108654	ENSP00000463101
ENSG00000108654	ENSP00000464587
ENSG00000108654	ENSP00000465791
ENSG00000108654	ENSP00000462206
ENSG00000108654	ENSP00000463903
ENSG00000108654	ENSP00000463168
ENSG00000108654	ENSP00000485764
ENSG00000166908	ENSP00000412035
ENSG00000166908	ENSP00000439878
ENSG00000166908	ENSP00000450197
ENSG00000166908	ENSP00000447390
ENSG00000166908	ENSP00000449335
ENSG00000166908	ENSP00000448042
ENSG00000166908	ENSP00000347032
ENSG00000166908	ENSP00000449538
ENSG00000144579	ENSP00000392248
ENSG00000144579	ENSP00000273062
ENSG00000144579	ENSP00000404301
ENSG00000144579	ENSP00000403256
ENSG00000144579	ENSP00000411308
ENSG00000188676	ENSP00000426447
ENSG00000188676	ENSP00000443432
ENSG00000003137	ENSP00000001146
ENSG00000003137	ENSP00000401465
ENSG00000003137	ENSP00000430888
ENSG00000003137	ENSP00000430871
ENSG00000003137	ENSP00000443304
ENSG00000140941	ENSP00000268607
ENSG00000140941	ENSP00000457141
ENSG00000140941	ENSP00000457225
ENSG00000140941	ENSP00000454293
ENSG00000125388	ENSP00000381128
ENSG00000125388	ENSP00000421650
ENSG00000125388	ENSP00000381129
ENSG00000125388	ENSP00000264764
ENSG00000125388	ENSP00000427445
ENSG00000282651	ENSP00000488144
ENSG00000170468	ENSP00000477507
ENSG00000166341	ENSP00000299441
ENSG00000215183	ENSP00000419194
ENSG00000148335	ENSP00000361564
ENSG00000148335	ENSP00000361561
ENSG00000148335	ENSP00000473916
ENSG00000148335	ENSP00000474445
ENSG00000148335	ENSP00000473900
ENSG00000148335	ENSP00000361559
ENSG00000148335	ENSP00000361558
ENSG00000148335	ENSP00000478521
ENSG00000148335	ENSP00000484447
ENSG00000148335	ENSP00000483489
ENSG00000033178	ENSP00000313454
ENSG00000033178	ENSP00000425091
ENSG00000033178	ENSP00000421984
ENSG00000033178	ENSP00000399234
ENSG00000176973	ENSP00000314829
ENSG00000176973	ENSP00000402439
ENSG00000176973	ENSP00000431459
ENSG00000109066	ENSP00000397676
ENSG00000109066	ENSP00000463774
ENSG00000109066	ENSP00000463205
ENSG00000109066	ENSP00000461922
ENSG00000109066	ENSP00000334849
ENSG00000144339	ENSP00000376128
ENSG00000144339	ENSP00000272771
ENSG00000144339	ENSP00000386871
ENSG00000198870	ENSP00000361025
ENSG00000132938	ENSP00000483729
ENSG00000132938	ENSP00000370186
ENSG00000132938	ENSP00000392057
ENSG00000132938	ENSP00000445403
ENSG00000188677	ENSP00000384515
ENSG00000188677	ENSP00000342492
ENSG00000188677	ENSP00000393758
ENSG00000188677	ENSP00000384353
ENSG00000188677	ENSP00000482511
ENSG00000139132	ENSP00000449273
ENSG00000139132	ENSP00000431323
ENSG00000139132	ENSP00000434356
ENSG00000139132	ENSP00000437109
ENSG00000139132	ENSP00000449614
ENSG00000139132	ENSP00000394487
ENSG00000139132	ENSP00000379089
ENSG00000139132	ENSP00000446695
ENSG00000139132	ENSP00000462623
ENSG00000139132	ENSP00000433666
ENSG00000139132	ENSP00000434062
ENSG00000171992	ENSP00000377789
ENSG00000171992	ENSP00000428378
ENSG00000171992	ENSP00000302139
ENSG00000171992	ENSP00000429268
ENSG00000276780	ENSP00000478480
ENSG00000276780	ENSP00000485716
ENSG00000277540	ENSP00000481574
ENSG00000277540	ENSP00000483583
ENSG00000277540	ENSP00000478881
ENSG00000111875	ENSP00000229595
ENSG00000174325	ENSP00000307860
ENSG00000223590	ENSP00000416075
ENSG00000223590	ENSP00000448890
ENSG00000043355	ENSP00000365514
ENSG00000043355	ENSP00000481510
ENSG00000181915	ENSP00000362888
ENSG00000143450	ENSP00000489350
ENSG00000143450	ENSP00000313922
ENSG00000143450	ENSP00000415904
ENSG00000143450	ENSP00000463055
ENSG00000143450	ENSP00000383784
ENSG00000143450	ENSP00000489420
ENSG00000143450	ENSP00000463692
ENSG00000143450	ENSP00000486158
ENSG00000101981	ENSP00000218099
ENSG00000101981	ENSP00000377650
ENSG00000100297	ENSP00000216122
ENSG00000100297	ENSP00000412847
ENSG00000100297	ENSP00000371441
ENSG00000100297	ENSP00000393977
ENSG00000100297	ENSP00000408705
ENSG00000278362	ENSP00000484520
ENSG00000278362	ENSP00000481479
ENSG00000278362	ENSP00000483028
ENSG00000278362	ENSP00000480145
ENSG00000278362	ENSP00000484831
ENSG00000278362	ENSP00000484067
ENSG00000278362	ENSP00000482423
ENSG00000278362	ENSP00000482536
ENSG00000160588	ENSP00000278949
ENSG00000160588	ENSP00000434636
ENSG00000160588	ENSP00000432106
ENSG00000160588	ENSP00000393594
ENSG00000115255	ENSP00000233596
ENSG00000115255	ENSP00000378861
ENSG00000115255	ENSP00000378865
ENSG00000258881	ENSP00000475641
ENSG00000258881	ENSP00000475757
ENSG00000275243	ENSP00000479210
ENSG00000170276	ENSP00000302476
ENSG00000243244	ENSP00000385273
ENSG00000243244	ENSP00000384615
ENSG00000243244	ENSP00000399868
ENSG00000186280	ENSP00000334181
ENSG00000186280	ENSP00000460897
ENSG00000186280	ENSP00000482224
ENSG00000179919	ENSP00000326718
ENSG00000226257	ENSP00000389352
ENSG00000226257	ENSP00000413766
ENSG00000226257	ENSP00000428007
ENSG00000226257	ENSP00000446620
ENSG00000113296	ENSP00000339730
ENSG00000113296	ENSP00000422298
ENSG00000117475	ENSP00000356781
ENSG00000117475	ENSP00000356782
ENSG00000117475	ENSP00000327541
ENSG00000117475	ENSP00000414668
ENSG00000117475	ENSP00000404408
ENSG00000185189	ENSP00000414055
ENSG00000185189	ENSP00000431280
ENSG00000185189	ENSP00000432374
ENSG00000086205	ENSP00000256999
ENSG00000086205	ENSP00000349129
ENSG00000086205	ENSP00000434928
ENSG00000086205	ENSP00000344131
ENSG00000086205	ENSP00000431463
ENSG00000086205	ENSP00000436569
ENSG00000086205	ENSP00000431577
ENSG00000086205	ENSP00000431263
ENSG00000086205	ENSP00000344086
ENSG00000147454	ENSP00000429200
ENSG00000147454	ENSP00000402782
ENSG00000147454	ENSP00000290075
ENSG00000147454	ENSP00000428066
ENSG00000272897	ENSP00000395201
ENSG00000272897	ENSP00000411232
ENSG00000272897	ENSP00000443983
ENSG00000141562	ENSP00000462240
ENSG00000141562	ENSP00000374656
ENSG00000141562	ENSP00000463347
ENSG00000141562	ENSP00000309899
ENSG00000141562	ENSP00000283996
ENSG00000141562	ENSP00000462305
ENSG00000141562	ENSP00000363739
ENSG00000141562	ENSP00000467119
ENSG00000141562	ENSP00000414678
ENSG00000141562	ENSP00000464644
ENSG00000141562	ENSP00000463087
ENSG00000141562	ENSP00000462792
ENSG00000141562	ENSP00000462006
ENSG00000141562	ENSP00000463697
ENSG00000141562	ENSP00000464124
ENSG00000141562	ENSP00000462970
ENSG00000141562	ENSP00000409710
ENSG00000073910	ENSP00000445043
ENSG00000073910	ENSP00000398010
ENSG00000073910	ENSP00000434694
ENSG00000073910	ENSP00000369565
ENSG00000073910	ENSP00000369600
ENSG00000196975	ENSP00000386756
ENSG00000196975	ENSP00000377833
ENSG00000196975	ENSP00000489316
ENSG00000196975	ENSP00000489490
ENSG00000196975	ENSP00000489464
ENSG00000154114	ENSP00000437184
ENSG00000154114	ENSP00000284259
ENSG00000154114	ENSP00000431803
ENSG00000154114	ENSP00000433365
ENSG00000154114	ENSP00000403925
ENSG00000154114	ENSP00000431156
ENSG00000154114	ENSP00000432783
ENSG00000154114	ENSP00000436419
ENSG00000232040	ENSP00000395259
ENSG00000250364	ENSP00000421346
ENSG00000250364	ENSP00000447118
ENSG00000128652	ENSP00000392615
ENSG00000128652	ENSP00000386498
ENSG00000128652	ENSP00000249440
ENSG00000125434	ENSP00000462395
ENSG00000125434	ENSP00000369407
ENSG00000125434	ENSP00000464191
ENSG00000125434	ENSP00000464071
ENSG00000125434	ENSP00000464307
ENSG00000125434	ENSP00000464231
ENSG00000151458	ENSP00000425658
ENSG00000151458	ENSP00000425355
ENSG00000105880	ENSP00000222598
ENSG00000105880	ENSP00000475008
ENSG00000102893	ENSP00000455664
ENSG00000102893	ENSP00000456729
ENSG00000102893	ENSP00000299167
ENSG00000102893	ENSP00000313504
ENSG00000102893	ENSP00000457905
ENSG00000102893	ENSP00000458581
ENSG00000102893	ENSP00000460408
ENSG00000102893	ENSP00000461770
ENSG00000102893	ENSP00000458446
ENSG00000102893	ENSP00000459287
ENSG00000102893	ENSP00000458961
ENSG00000186063	ENSP00000339161
ENSG00000186063	ENSP00000347964
ENSG00000170681	ENSP00000418668
ENSG00000066405	ENSP00000340939
ENSG00000066405	ENSP00000183605
ENSG00000066405	ENSP00000419732
ENSG00000205279	ENSP00000368758
ENSG00000205279	ENSP00000378732
ENSG00000205279	ENSP00000482081
ENSG00000166676	ENSP00000460567
ENSG00000166676	ENSP00000411972
ENSG00000166676	ENSP00000460822
ENSG00000166676	ENSP00000458488
ENSG00000166676	ENSP00000299866
ENSG00000166676	ENSP00000461067
ENSG00000166676	ENSP00000482095
ENSG00000166676	ENSP00000482891
ENSG00000105137	ENSP00000341489
ENSG00000105137	ENSP00000473151
ENSG00000105137	ENSP00000470733
ENSG00000105137	ENSP00000469489
ENSG00000105137	ENSP00000471553
ENSG00000211974	ENSP00000375043
ENSG00000205643	ENSP00000384451
ENSG00000205643	ENSP00000325301
ENSG00000205643	ENSP00000370425
ENSG00000205643	ENSP00000385460
ENSG00000116675	ENSP00000473821
ENSG00000116675	ENSP00000378735
ENSG00000116675	ENSP00000360108
ENSG00000116675	ENSP00000263441
ENSG00000167081	ENSP00000341990
ENSG00000167081	ENSP00000362586
ENSG00000167081	ENSP00000362588
ENSG00000167081	ENSP00000362591
ENSG00000167081	ENSP00000362581
ENSG00000167081	ENSP00000475679
ENSG00000167081	ENSP00000387456
ENSG00000167081	ENSP00000397903
ENSG00000081791	ENSP00000396225
ENSG00000081791	ENSP00000194118
ENSG00000081791	ENSP00000422686
ENSG00000081791	ENSP00000426138
ENSG00000173221	ENSP00000422708
ENSG00000173221	ENSP00000237858
ENSG00000173221	ENSP00000369314
ENSG00000173221	ENSP00000427353
ENSG00000173221	ENSP00000424636
ENSG00000170959	ENSP00000404672
ENSG00000170959	ENSP00000306898
ENSG00000170959	ENSP00000472625
ENSG00000170959	ENSP00000343496
ENSG00000170959	ENSP00000389792
ENSG00000170959	ENSP00000385936
ENSG00000172457	ENSP00000307515
ENSG00000140367	ENSP00000267938
ENSG00000140367	ENSP00000456324
ENSG00000140367	ENSP00000458006
ENSG00000140367	ENSP00000456229
ENSG00000140367	ENSP00000400960
ENSG00000140367	ENSP00000454742
ENSG00000234154	ENSP00000391679
ENSG00000234154	ENSP00000393285
ENSG00000234154	ENSP00000394997
ENSG00000234154	ENSP00000414817
ENSG00000234154	ENSP00000412415
ENSG00000087302	ENSP00000261700
ENSG00000087302	ENSP00000451751
ENSG00000087302	ENSP00000451715
ENSG00000087302	ENSP00000451153
ENSG00000184500	ENSP00000377783
ENSG00000184500	ENSP00000385794
ENSG00000184500	ENSP00000330021
ENSG00000184500	ENSP00000419616
ENSG00000167088	ENSP00000300413
ENSG00000167088	ENSP00000463676
ENSG00000167088	ENSP00000463568
ENSG00000021826	ENSP00000388496
ENSG00000021826	ENSP00000430697
ENSG00000021826	ENSP00000430644
ENSG00000021826	ENSP00000402608
ENSG00000021826	ENSP00000233072
ENSG00000021826	ENSP00000406136
ENSG00000021826	ENSP00000480517
ENSG00000271317	ENSP00000474693
ENSG00000166501	ENSP00000318315
ENSG00000166501	ENSP00000305355
ENSG00000166501	ENSP00000454428
ENSG00000166501	ENSP00000459227
ENSG00000166501	ENSP00000457980
ENSG00000166501	ENSP00000458564
ENSG00000272442	ENSP00000424257
ENSG00000259164	ENSP00000456507
ENSG00000176986	ENSP00000437000
ENSG00000176986	ENSP00000321845
ENSG00000176986	ENSP00000343405
ENSG00000176986	ENSP00000489351
ENSG00000176986	ENSP00000489340
ENSG00000143727	ENSP00000272067
ENSG00000143727	ENSP00000272065
ENSG00000143727	ENSP00000410331
ENSG00000143727	ENSP00000385404
ENSG00000143727	ENSP00000389681
ENSG00000143727	ENSP00000408596
ENSG00000143727	ENSP00000384184
ENSG00000143727	ENSP00000384307
ENSG00000143727	ENSP00000411121
ENSG00000111859	ENSP00000368759
ENSG00000111859	ENSP00000395237
ENSG00000111859	ENSP00000422871
ENSG00000111859	ENSP00000368745
ENSG00000111859	ENSP00000421282
ENSG00000111859	ENSP00000380534
ENSG00000111859	ENSP00000424975
ENSG00000111859	ENSP00000478563
ENSG00000169871	ENSP00000305161
ENSG00000169871	ENSP00000404186
ENSG00000169871	ENSP00000486217
ENSG00000213965	ENSP00000380251
ENSG00000159189	ENSP00000363771
ENSG00000159189	ENSP00000363770
ENSG00000159189	ENSP00000363768
ENSG00000186943	ENSP00000334068
ENSG00000120658	ENSP00000261488
ENSG00000120658	ENSP00000415054
ENSG00000134759	ENSP00000440426
ENSG00000134759	ENSP00000350967
ENSG00000134759	ENSP00000440516
ENSG00000134759	ENSP00000257191
ENSG00000134759	ENSP00000438533
ENSG00000134759	ENSP00000414851
ENSG00000134759	ENSP00000391202
ENSG00000134759	ENSP00000443555
ENSG00000134759	ENSP00000440774
ENSG00000134759	ENSP00000316051
ENSG00000134759	ENSP00000443800
ENSG00000134759	ENSP00000468091
ENSG00000134759	ENSP00000440651
ENSG00000115970	ENSP00000386088
ENSG00000115970	ENSP00000386112
ENSG00000115970	ENSP00000385995
ENSG00000115970	ENSP00000381647
ENSG00000115970	ENSP00000384172
ENSG00000115970	ENSP00000385003
ENSG00000115970	ENSP00000385441
ENSG00000115970	ENSP00000384266
ENSG00000115970	ENSP00000445294
ENSG00000115970	ENSP00000385469
ENSG00000204604	ENSP00000470381
ENSG00000204604	ENSP00000243639
ENSG00000204604	ENSP00000469779
ENSG00000204604	ENSP00000470717
ENSG00000204604	ENSP00000471675
ENSG00000204604	ENSP00000469733
ENSG00000204604	ENSP00000379690
ENSG00000100220	ENSP00000216038
ENSG00000142538	ENSP00000270631
ENSG00000091704	ENSP00000420218
ENSG00000091704	ENSP00000011292
ENSG00000091704	ENSP00000475021
ENSG00000091704	ENSP00000419408
ENSG00000091704	ENSP00000419497
ENSG00000164675	ENSP00000417769
ENSG00000164675	ENSP00000324882
ENSG00000164675	ENSP00000417285
ENSG00000164675	ENSP00000417636
ENSG00000078114	ENSP00000366326
ENSG00000078114	ENSP00000393896
ENSG00000078114	ENSP00000489562
ENSG00000078114	ENSP00000489545
ENSG00000078114	ENSP00000489224
ENSG00000078114	ENSP00000396512
ENSG00000170923	ENSP00000303822
ENSG00000125999	ENSP00000390471
ENSG00000125999	ENSP00000253354
ENSG00000091129	ENSP00000325269
ENSG00000091129	ENSP00000368310
ENSG00000091129	ENSP00000401244
ENSG00000091129	ENSP00000398174
ENSG00000091129	ENSP00000390421
ENSG00000091129	ENSP00000390868
ENSG00000091129	ENSP00000397544
ENSG00000091129	ENSP00000408203
ENSG00000091129	ENSP00000393663
ENSG00000091129	ENSP00000368314
ENSG00000091129	ENSP00000407858
ENSG00000091129	ENSP00000368308
ENSG00000091129	ENSP00000484840
ENSG00000182541	ENSP00000384602
ENSG00000182541	ENSP00000332687
ENSG00000182541	ENSP00000388422
