# Tissue	Gene Ontology	Gene
leukocyte	GO:0070663	1604
leukocyte	GO:0070663	26191
leukocyte	GO:0070663	5741
leukocyte	GO:0070663	1739
leukocyte	GO:0070663	50943
leukocyte	GO:0070663	1880
leukocyte	GO:0070663	2064
leukocyte	GO:0070663	10451
leukocyte	GO:0070663	149233
leukocyte	GO:0070663	3146
leukocyte	GO:0070663	84433
leukocyte	GO:0070663	27242
leukocyte	GO:0070663	11035
leukocyte	GO:0070663	2950
leukocyte	GO:0070663	11151
leukocyte	GO:0070663	3071
leukocyte	GO:0070663	3113
leukocyte	GO:0070663	11326
leukocyte	GO:0070663	3280
leukocyte	GO:0070663	148022
leukocyte	GO:0070663	3458
leukocyte	GO:0070663	3481
leukocyte	GO:0070663	3553
leukocyte	GO:0070663	3558
leukocyte	GO:0070663	3559
leukocyte	GO:0070663	3565
leukocyte	GO:0070663	3569
leukocyte	GO:0070663	3572
leukocyte	GO:0070663	3586
leukocyte	GO:0070663	3593
leukocyte	GO:0070663	3600
leukocyte	GO:0070663	3635
leukocyte	GO:0070663	3659
leukocyte	GO:0070663	3718
leukocyte	GO:0070663	3958
leukocyte	GO:0070663	3965
leukocyte	GO:0070663	4067
leukocyte	GO:0070663	4208
leukocyte	GO:0070663	4282
leukocyte	GO:0070663	4332
leukocyte	GO:0070663	6693
leukocyte	GO:0070663	29108
leukocyte	GO:0070663	29126
leukocyte	GO:0070663	4690
leukocyte	GO:0070663	4773
leukocyte	GO:0070663	4860
leukocyte	GO:0070663	4254
leukocyte	GO:0070663	5621
leukocyte	GO:0070663	5074
leukocyte	GO:0070663	54440
leukocyte	GO:0070663	5573
leukocyte	GO:0070663	5585
leukocyte	GO:0070663	5588
leukocyte	GO:0070663	2302
leukocyte	GO:0070663	941
leukocyte	GO:0070663	5777
leukocyte	GO:0070663	5788
leukocyte	GO:0070663	5880
leukocyte	GO:0070663	6352
leukocyte	GO:0070663	6363
leukocyte	GO:0070663	6375
leukocyte	GO:0070663	6654
leukocyte	GO:0070663	6708
leukocyte	GO:0070663	6850
leukocyte	GO:0070663	6863
leukocyte	GO:0070663	23308
leukocyte	GO:0070663	80762
leukocyte	GO:0070663	7037
leukocyte	GO:0070663	7040
leukocyte	GO:0070663	7099
leukocyte	GO:0070663	7128
leukocyte	GO:0070663	23529
leukocyte	GO:0070663	80381
leukocyte	GO:0070663	7189
leukocyte	GO:0070663	7292
leukocyte	GO:0070663	7293
leukocyte	GO:0070663	7535
leukocyte	GO:0070663	6777
leukocyte	GO:0070663	114609
muscle	GO:0014910	328
muscle	GO:0014910	657
muscle	GO:0014910	9353
muscle	GO:0014910	9759
muscle	GO:0014910	1636
muscle	GO:0014910	10221
muscle	GO:0014910	2950
muscle	GO:0014910	3479
muscle	GO:0014910	3486
muscle	GO:0014910	85440
muscle	GO:0014910	3611
muscle	GO:0014910	8829
muscle	GO:0014910	4035
muscle	GO:0014910	4193
muscle	GO:0014910	4303
muscle	GO:0014910	4780
muscle	GO:0014910	5154
muscle	GO:0014910	5155
muscle	GO:0014910	5467
muscle	GO:0014910	6198
muscle	GO:0014910	80005
muscle	GO:0014910	6714
muscle	GO:0014910	7168
leukocyte	GO:0002431	71
leukocyte	GO:0002431	8398
leukocyte	GO:0002431	8976
leukocyte	GO:0002431	919
leukocyte	GO:0002431	998
leukocyte	GO:0002431	9844
leukocyte	GO:0002431	10006
leukocyte	GO:0002431	10096
leukocyte	GO:0002431	10163
leukocyte	GO:0002431	2212
leukocyte	GO:0002431	10451
leukocyte	GO:0002431	10458
leukocyte	GO:0002431	2268
leukocyte	GO:0002431	26999
leukocyte	GO:0002431	2534
leukocyte	GO:0002431	2885
leukocyte	GO:0002431	3055
leukocyte	GO:0002431	3071
leukocyte	GO:0002431	3320
leukocyte	GO:0002431	3326
leukocyte	GO:0002431	3984
leukocyte	GO:0002431	4067
leukocyte	GO:0002431	4651
leukocyte	GO:0002431	4690
leukocyte	GO:0002431	2207
leukocyte	GO:0002431	5058
leukocyte	GO:0002431	2209
leukocyte	GO:0002431	5290
leukocyte	GO:0002431	5291
leukocyte	GO:0002431	5295
leukocyte	GO:0002431	5296
leukocyte	GO:0002431	5335
leukocyte	GO:0002431	5336
leukocyte	GO:0002431	5338
leukocyte	GO:0002431	5580
leukocyte	GO:0002431	5581
leukocyte	GO:0002431	5594
leukocyte	GO:0002431	5595
leukocyte	GO:0002431	5747
leukocyte	GO:0002431	5879
leukocyte	GO:0002431	63916
leukocyte	GO:0002431	6714
leukocyte	GO:0002431	23191
leukocyte	GO:0002431	6850
leukocyte	GO:0002431	10787
leukocyte	GO:0002431	7409
leukocyte	GO:0002431	7410
leukocyte	GO:0002431	7454
leukocyte	GO:0002431	7525
blood	GO:0043535	348
blood	GO:0043535	387
blood	GO:0043535	9270
blood	GO:0043535	207
blood	GO:0043535	25865
blood	GO:0043535	5743
blood	GO:0043535	284
blood	GO:0043535	10014
blood	GO:0043535	1942
blood	GO:0043535	1969
blood	GO:0043535	51378
blood	GO:0043535	2247
blood	GO:0043535	51564
blood	GO:0043535	3146
blood	GO:0043535	3273
blood	GO:0043535	3315
blood	GO:0043535	4763
blood	GO:0043535	4780
blood	GO:0043535	4851
blood	GO:0043535	5155
blood	GO:0043535	5578
blood	GO:0043535	5587
blood	GO:0043535	5607
blood	GO:0043535	6776
blood	GO:0043535	7040
blood	GO:0043535	7057
blood	GO:0043535	7422
blood	GO:0043535	5335
embryo	GO:0009791	48
embryo	GO:0009791	652
embryo	GO:0009791	90780
embryo	GO:0009791	8879
embryo	GO:0009791	25976
embryo	GO:0009791	26058
embryo	GO:0009791	1717
embryo	GO:0009791	59338
embryo	GO:0009791	2068
embryo	GO:0009791	84159
embryo	GO:0009791	27148
embryo	GO:0009791	10765
embryo	GO:0009791	27161
embryo	GO:0009791	27230
embryo	GO:0009791	10848
embryo	GO:0009791	2776
embryo	GO:0009791	3708
embryo	GO:0009791	93986
embryo	GO:0009791	3975
embryo	GO:0009791	4087
embryo	GO:0009791	4204
embryo	GO:0009791	4297
embryo	GO:0009791	55553
embryo	GO:0009791	5663
embryo	GO:0009791	22809
embryo	GO:0009791	80274
embryo	GO:0009791	6905
embryo	GO:0009791	7046
embryo	GO:0009791	23515
embryo	GO:0009791	2625
embryo	GO:0009791	23162
embryo	GO:0009791	7915
embryo	GO:0009791	50515
kidney	GO:0061213	183
kidney	GO:0061213	186
kidney	GO:0061213	9500
kidney	GO:0061213	10409
kidney	GO:0061213	2625
kidney	GO:0061213	2668
kidney	GO:0061213	3217
kidney	GO:0061213	3975
kidney	GO:0061213	5076
kidney	GO:0061213	55366
kidney	GO:0061213	6495
kidney	GO:0061213	7040
kidney	GO:0061213	7422
kidney	GO:0061213	7490
kidney	GO:0061213	7849
leukocyte	GO:0002263	57379
leukocyte	GO:0002263	100
leukocyte	GO:0002263	306
leukocyte	GO:0002263	538
leukocyte	GO:0002263	602
leukocyte	GO:0002263	9025
leukocyte	GO:0002263	942
leukocyte	GO:0002263	959
leukocyte	GO:0002263	9156
leukocyte	GO:0002263	50487
leukocyte	GO:0002263	1524
leukocyte	GO:0002263	149041
leukocyte	GO:0002263	1794
leukocyte	GO:0002263	51010
leukocyte	GO:0002263	1880
leukocyte	GO:0002263	51176
leukocyte	GO:0002263	2067
leukocyte	GO:0002263	165918
leukocyte	GO:0002263	2185
leukocyte	GO:0002263	3146
leukocyte	GO:0002263	27086
leukocyte	GO:0002263	2956
leukocyte	GO:0002263	11151
leukocyte	GO:0002263	3329
leukocyte	GO:0002263	3383
leukocyte	GO:0002263	148022
leukocyte	GO:0002263	3439
leukocyte	GO:0002263	3440
leukocyte	GO:0002263	3458
leukocyte	GO:0002263	3565
leukocyte	GO:0002263	3593
leukocyte	GO:0002263	3683
leukocyte	GO:0002263	6095
leukocyte	GO:0002263	3936
leukocyte	GO:0002263	3956
leukocyte	GO:0002263	3981
leukocyte	GO:0002263	117157
leukocyte	GO:0002263	4292
leukocyte	GO:0002263	4436
leukocyte	GO:0002263	55361
leukocyte	GO:0002263	29108
leukocyte	GO:0002263	4683
leukocyte	GO:0002263	201294
leukocyte	GO:0002263	2150
leukocyte	GO:0002263	4853
leukocyte	GO:0002263	2207
leukocyte	GO:0002263	5293
leukocyte	GO:0002263	5336
leukocyte	GO:0002263	5581
leukocyte	GO:0002263	5663
leukocyte	GO:0002263	5873
leukocyte	GO:0002263	5971
leukocyte	GO:0002263	6194
leukocyte	GO:0002263	6284
leukocyte	GO:0002263	6348
leukocyte	GO:0002263	23075
leukocyte	GO:0002263	6813
leukocyte	GO:0002263	6814
leukocyte	GO:0002263	6845
leukocyte	GO:0002263	6850
leukocyte	GO:0002263	7098
leukocyte	GO:0002263	7099
leukocyte	GO:0002263	64581
leukocyte	GO:0002263	7248
leukocyte	GO:0002263	7462
leukocyte	GO:0002263	7535
leukocyte	GO:0002263	2625
muscle	GO:0043502	142
muscle	GO:0043502	8654
muscle	GO:0043502	488
muscle	GO:0043502	818
muscle	GO:0043502	859
muscle	GO:0043502	9464
muscle	GO:0043502	1906
muscle	GO:0043502	2539
muscle	GO:0043502	2931
muscle	GO:0043502	2932
muscle	GO:0043502	2969
muscle	GO:0043502	3479
muscle	GO:0043502	3572
muscle	GO:0043502	4089
muscle	GO:0043502	4205
muscle	GO:0043502	4625
muscle	GO:0043502	5025
muscle	GO:0043502	54206
muscle	GO:0043502	5300
muscle	GO:0043502	5530
muscle	GO:0043502	5578
muscle	GO:0043502	6548
muscle	GO:0043502	7919
neuron	GO:0050807	2049
neuron	GO:0050807	2119
neuron	GO:0050807	4204
neuron	GO:0050807	348
neuron	GO:0050807	4734
neuron	GO:0050807	375790
neuron	GO:0050807	51738
neuron	GO:0050807	998
neuron	GO:0050807	153090
neuron	GO:0050807	5649
neuron	GO:0050807	5747
neuron	GO:0050807	5818
neuron	GO:0050807	1760
neuron	GO:0050807	4038
neuron	GO:0050807	2045
leukocyte	GO:0070486	100
leukocyte	GO:0070486	8440
leukocyte	GO:0070486	301
leukocyte	GO:0070486	399
leukocyte	GO:0070486	538
leukocyte	GO:0070486	8740
leukocyte	GO:0070486	567
leukocyte	GO:0070486	8767
leukocyte	GO:0070486	8772
leukocyte	GO:0070486	602
leukocyte	GO:0070486	673
leukocyte	GO:0070486	677
leukocyte	GO:0070486	678
leukocyte	GO:0070486	197358
leukocyte	GO:0070486	841
leukocyte	GO:0070486	896
leukocyte	GO:0070486	9093
leukocyte	GO:0070486	915
leukocyte	GO:0070486	916
leukocyte	GO:0070486	920
leukocyte	GO:0070486	925
leukocyte	GO:0070486	940
leukocyte	GO:0070486	942
leukocyte	GO:0070486	960
leukocyte	GO:0070486	1021
leukocyte	GO:0070486	1051
leukocyte	GO:0070486	1139
leukocyte	GO:0070486	1499
leukocyte	GO:0070486	149041
leukocyte	GO:0070486	26191
leukocyte	GO:0070486	1650
leukocyte	GO:0070486	1739
leukocyte	GO:0070486	9935
leukocyte	GO:0070486	50943
leukocyte	GO:0070486	1794
leukocyte	GO:0070486	1803
leukocyte	GO:0070486	1880
leukocyte	GO:0070486	1958
leukocyte	GO:0070486	2000
leukocyte	GO:0070486	51176
leukocyte	GO:0070486	84174
leukocyte	GO:0070486	10507
leukocyte	GO:0070486	3146
leukocyte	GO:0070486	27086
leukocyte	GO:0070486	2534
leukocyte	GO:0070486	10892
leukocyte	GO:0070486	11035
leukocyte	GO:0070486	3329
leukocyte	GO:0070486	6659
leukocyte	GO:0070486	3383
leukocyte	GO:0070486	3439
leukocyte	GO:0070486	3440
leukocyte	GO:0070486	3458
leukocyte	GO:0070486	581
leukocyte	GO:0070486	3553
leukocyte	GO:0070486	3558
leukocyte	GO:0070486	3565
leukocyte	GO:0070486	3575
leukocyte	GO:0070486	3593
leukocyte	GO:0070486	3600
leukocyte	GO:0070486	3659
leukocyte	GO:0070486	3662
leukocyte	GO:0070486	3683
leukocyte	GO:0070486	3702
leukocyte	GO:0070486	3714
leukocyte	GO:0070486	6095
leukocyte	GO:0070486	3932
leukocyte	GO:0070486	3936
leukocyte	GO:0070486	3981
leukocyte	GO:0070486	4088
leukocyte	GO:0070486	4690
leukocyte	GO:0070486	2150
leukocyte	GO:0070486	4734
leukocyte	GO:0070486	5027
leukocyte	GO:0070486	2207
leukocyte	GO:0070486	5293
leukocyte	GO:0070486	5316
leukocyte	GO:0070486	30009
leukocyte	GO:0070486	2280
leukocyte	GO:0070486	2281
leukocyte	GO:0070486	5530
leukocyte	GO:0070486	5532
leukocyte	GO:0070486	5591
leukocyte	GO:0070486	5618
leukocyte	GO:0070486	941
leukocyte	GO:0070486	5663
leukocyte	GO:0070486	5771
leukocyte	GO:0070486	5788
leukocyte	GO:0070486	79576
leukocyte	GO:0070486	5873
leukocyte	GO:0070486	5880
leukocyte	GO:0070486	5896
leukocyte	GO:0070486	5971
leukocyte	GO:0070486	79840
leukocyte	GO:0070486	6194
leukocyte	GO:0070486	6280
leukocyte	GO:0070486	55636
leukocyte	GO:0070486	23210
leukocyte	GO:0070486	6868
leukocyte	GO:0070486	23303
leukocyte	GO:0070486	23308
leukocyte	GO:0070486	6932
leukocyte	GO:0070486	7040
leukocyte	GO:0070486	80381
leukocyte	GO:0070486	23598
leukocyte	GO:0070486	64581
leukocyte	GO:0070486	7248
leukocyte	GO:0070486	6670
leukocyte	GO:0070486	7292
leukocyte	GO:0070486	7293
leukocyte	GO:0070486	7409
leukocyte	GO:0070486	7454
leukocyte	GO:0070486	7535
leukocyte	GO:0070486	2625
leukocyte	GO:0070486	6777
leukocyte	GO:0070664	8654
leukocyte	GO:0070664	472
leukocyte	GO:0070664	8764
leukocyte	GO:0070664	639
leukocyte	GO:0070664	652
leukocyte	GO:0070664	1051
leukocyte	GO:0070664	1493
leukocyte	GO:0070664	149041
leukocyte	GO:0070664	1739
leukocyte	GO:0070664	50943
leukocyte	GO:0070664	2064
leukocyte	GO:0070664	27242
leukocyte	GO:0070664	2950
leukocyte	GO:0070664	11326
leukocyte	GO:0070664	3558
leukocyte	GO:0070664	3559
leukocyte	GO:0070664	3586
leukocyte	GO:0070664	3635
leukocyte	GO:0070664	3965
leukocyte	GO:0070664	4067
leukocyte	GO:0070664	4332
leukocyte	GO:0070664	6693
leukocyte	GO:0070664	29126
leukocyte	GO:0070664	5621
leukocyte	GO:0070664	5074
leukocyte	GO:0070664	5573
leukocyte	GO:0070664	5585
leukocyte	GO:0070664	2302
leukocyte	GO:0070664	5777
leukocyte	GO:0070664	6375
leukocyte	GO:0070664	80762
leukocyte	GO:0070664	7040
leukocyte	GO:0070664	7128
leukocyte	GO:0070664	80381
heart	GO:0003007	9031
heart	GO:0003007	25836
heart	GO:0003007	1482
heart	GO:0003007	10087
heart	GO:0003007	10395
heart	GO:0003007	2475
heart	GO:0003007	2548
heart	GO:0003007	3357
heart	GO:0003007	3643
heart	GO:0003007	4607
heart	GO:0003007	2280
heart	GO:0003007	5727
heart	GO:0003007	5747
heart	GO:0003007	55636
heart	GO:0003007	7049
heart	GO:0003007	7422
heart	GO:0003007	1289
heart	GO:0003007	57178
blood_vessel	GO:0048514	94
blood_vessel	GO:0048514	8322
blood_vessel	GO:0048514	182
blood_vessel	GO:0048514	348
blood_vessel	GO:0048514	652
blood_vessel	GO:0048514	657
blood_vessel	GO:0048514	659
blood_vessel	GO:0048514	1545
blood_vessel	GO:0048514	9464
blood_vessel	GO:0048514	1282
blood_vessel	GO:0048514	83605
blood_vessel	GO:0048514	2022
blood_vessel	GO:0048514	2321
blood_vessel	GO:0048514	2702
blood_vessel	GO:0048514	3280
blood_vessel	GO:0048514	1948
blood_vessel	GO:0048514	3516
blood_vessel	GO:0048514	93649
blood_vessel	GO:0048514	8829
blood_vessel	GO:0048514	5311
blood_vessel	GO:0048514	3397
blood_vessel	GO:0048514	4035
blood_vessel	GO:0048514	4041
blood_vessel	GO:0048514	4092
blood_vessel	GO:0048514	29072
blood_vessel	GO:0048514	4734
blood_vessel	GO:0048514	4763
blood_vessel	GO:0048514	4851
blood_vessel	GO:0048514	4854
blood_vessel	GO:0048514	5921
blood_vessel	GO:0048514	55636
blood_vessel	GO:0048514	6654
blood_vessel	GO:0048514	6722
blood_vessel	GO:0048514	6850
blood_vessel	GO:0048514	7026
blood_vessel	GO:0048514	7046
blood_vessel	GO:0048514	7422
blood_vessel	GO:0048514	57178
osteoblast	GO:0045668	4221
osteoblast	GO:0045668	6497
osteoblast	GO:0045668	8646
osteoblast	GO:0045668	51684
osteoblast	GO:0045668	8313
osteoblast	GO:0045668	4851
osteoblast	GO:0045668	3398
osteoblast	GO:0045668	3399
osteoblast	GO:0045668	3488
osteoblast	GO:0045668	54795
osteoblast	GO:0045668	9464
osteoblast	GO:0045668	10507
osteoblast	GO:0045668	5727
osteoblast	GO:0045668	3397
osteoblast	GO:0045668	4041
osteoblast	GO:0045668	57045
osteoblast	GO:0045668	4077
osteoblast	GO:0045668	4088
muscle	GO:0045844	1385
muscle	GO:0045844	406
muscle	GO:0045844	652
muscle	GO:0045844	657
muscle	GO:0045844	891
muscle	GO:0045844	9099
muscle	GO:0045844	983
muscle	GO:0045844	1432
muscle	GO:0045844	1499
muscle	GO:0045844	1906
muscle	GO:0045844	2065
muscle	GO:0045844	2247
muscle	GO:0045844	2260
muscle	GO:0045844	3156
muscle	GO:0045844	3479
muscle	GO:0045844	1948
muscle	GO:0045844	3516
muscle	GO:0045844	93649
muscle	GO:0045844	28514
muscle	GO:0045844	4208
muscle	GO:0045844	4618
muscle	GO:0045844	4851
muscle	GO:0045844	4534
muscle	GO:0045844	5300
muscle	GO:0045844	5562
muscle	GO:0045844	6198
muscle	GO:0045844	23414
muscle	GO:0045844	7040
muscle	GO:0045844	7472
muscle	GO:0045844	7919
kidney	GO:0072073	182
kidney	GO:0072073	384
kidney	GO:0072073	652
kidney	GO:0072073	655
kidney	GO:0072073	793
kidney	GO:0072073	847
kidney	GO:0072073	947
kidney	GO:0072073	9353
kidney	GO:0072073	10252
kidney	GO:0072073	2246
kidney	GO:0072073	2263
kidney	GO:0072073	2296
kidney	GO:0072073	2303
kidney	GO:0072073	2260
kidney	GO:0072073	6943
kidney	GO:0072073	5311
kidney	GO:0072073	28514
kidney	GO:0072073	3975
kidney	GO:0072073	4086
kidney	GO:0072073	4087
kidney	GO:0072073	4088
kidney	GO:0072073	4090
kidney	GO:0072073	4092
kidney	GO:0072073	4093
kidney	GO:0072073	255743
kidney	GO:0072073	168667
kidney	GO:0072073	4851
kidney	GO:0072073	5076
kidney	GO:0072073	5175
kidney	GO:0072073	5914
kidney	GO:0072073	5915
kidney	GO:0072073	5979
kidney	GO:0072073	6092
kidney	GO:0072073	6299
kidney	GO:0072073	6422
kidney	GO:0072073	6492
kidney	GO:0072073	6495
kidney	GO:0072073	6928
kidney	GO:0072073	7040
kidney	GO:0072073	5310
kidney	GO:0072073	7490
kidney	GO:0072073	7849
kidney	GO:0072073	4091
lymphocyte	GO:0046637	100
lymphocyte	GO:0046637	301
lymphocyte	GO:0046637	8546
lymphocyte	GO:0046637	8767
lymphocyte	GO:0046637	9655
lymphocyte	GO:0046637	604
lymphocyte	GO:0046637	639
lymphocyte	GO:0046637	8943
lymphocyte	GO:0046637	942
lymphocyte	GO:0046637	9308
lymphocyte	GO:0046637	149041
lymphocyte	GO:0046637	50943
lymphocyte	GO:0046637	149233
lymphocyte	GO:0046637	2625
lymphocyte	GO:0046637	3142
lymphocyte	GO:0046637	3146
lymphocyte	GO:0046637	3458
lymphocyte	GO:0046637	3565
lymphocyte	GO:0046637	3566
lymphocyte	GO:0046637	3569
lymphocyte	GO:0046637	3593
lymphocyte	GO:0046637	3662
lymphocyte	GO:0046637	3707
lymphocyte	GO:0046637	3718
lymphocyte	GO:0046637	4860
lymphocyte	GO:0046637	5590
lymphocyte	GO:0046637	941
lymphocyte	GO:0046637	79576
lymphocyte	GO:0046637	5914
lymphocyte	GO:0046637	6363
lymphocyte	GO:0046637	6461
lymphocyte	GO:0046637	6850
lymphocyte	GO:0046637	7048
lymphocyte	GO:0046637	7292
lymphocyte	GO:0046637	7535
natural_killer_cell	GO:0030512	6497
natural_killer_cell	GO:0030512	6868
natural_killer_cell	GO:0030512	23411
natural_killer_cell	GO:0030512	7040
natural_killer_cell	GO:0030512	7046
natural_killer_cell	GO:0030512	7048
natural_killer_cell	GO:0030512	5300
natural_killer_cell	GO:0030512	3309
natural_killer_cell	GO:0030512	7043
natural_killer_cell	GO:0030512	5494
natural_killer_cell	GO:0030512	50515
natural_killer_cell	GO:0030512	4087
natural_killer_cell	GO:0030512	4088
natural_killer_cell	GO:0030512	4091
natural_killer_cell	GO:0030512	4092
heart	GO:0003151	8321
heart	GO:0003151	6926
heart	GO:0003151	657
heart	GO:0003151	659
heart	GO:0003151	25836
heart	GO:0003151	1386
heart	GO:0003151	1856
heart	GO:0003151	10370
heart	GO:0003151	10512
heart	GO:0003151	2535
heart	GO:0003151	2702
heart	GO:0003151	3091
heart	GO:0003151	3280
heart	GO:0003151	3516
heart	GO:0003151	3725
heart	GO:0003151	4208
heart	GO:0003151	4734
heart	GO:0003151	54345
heart	GO:0003151	3611
heart	GO:0003151	161882
heart	GO:0003151	6423
heart	GO:0003151	23129
heart	GO:0003151	7049
heart	GO:0003151	64321
heart	GO:0003151	7048
heart	GO:0003151	7422
embryo	GO:0048568	2736
embryo	GO:0048568	100
embryo	GO:0048568	207
embryo	GO:0048568	8563
embryo	GO:0048568	405
embryo	GO:0048568	657
embryo	GO:0048568	8932
embryo	GO:0048568	1051
embryo	GO:0048568	1437
embryo	GO:0048568	10959
embryo	GO:0048568	1499
embryo	GO:0048568	26259
embryo	GO:0048568	9968
embryo	GO:0048568	1956
embryo	GO:0048568	2034
embryo	GO:0048568	2067
embryo	GO:0048568	2071
embryo	GO:0048568	2186
embryo	GO:0048568	10413
embryo	GO:0048568	2254
embryo	GO:0048568	10763
embryo	GO:0048568	2624
embryo	GO:0048568	10848
embryo	GO:0048568	3091
embryo	GO:0048568	3280
embryo	GO:0048568	3297
embryo	GO:0048568	3399
embryo	GO:0048568	3491
embryo	GO:0048568	3516
embryo	GO:0048568	3726
embryo	GO:0048568	5311
embryo	GO:0048568	2019
embryo	GO:0048568	4297
embryo	GO:0048568	53615
embryo	GO:0048568	5087
embryo	GO:0048568	5154
embryo	GO:0048568	5155
embryo	GO:0048568	5310
embryo	GO:0048568	5333
embryo	GO:0048568	5426
embryo	GO:0048568	5469
embryo	GO:0048568	5594
embryo	GO:0048568	5727
embryo	GO:0048568	5887
embryo	GO:0048568	5914
embryo	GO:0048568	5915
embryo	GO:0048568	5916
embryo	GO:0048568	79728
embryo	GO:0048568	161882
embryo	GO:0048568	6491
embryo	GO:0048568	6789
embryo	GO:0048568	6886
embryo	GO:0048568	23414
embryo	GO:0048568	7040
embryo	GO:0048568	7048
embryo	GO:0048568	6670
embryo	GO:0048568	7472
embryo	GO:0048568	2625
embryo	GO:0048568	7942
skeletal_muscle	GO:0045844	89
skeletal_muscle	GO:0045844	57496
skeletal_muscle	GO:0045844	406
skeletal_muscle	GO:0045844	652
skeletal_muscle	GO:0045844	657
skeletal_muscle	GO:0045844	891
skeletal_muscle	GO:0045844	9099
skeletal_muscle	GO:0045844	983
skeletal_muscle	GO:0045844	1385
skeletal_muscle	GO:0045844	1432
skeletal_muscle	GO:0045844	1499
skeletal_muscle	GO:0045844	1906
skeletal_muscle	GO:0045844	1948
skeletal_muscle	GO:0045844	26585
skeletal_muscle	GO:0045844	2065
skeletal_muscle	GO:0045844	2475
skeletal_muscle	GO:0045844	2627
skeletal_muscle	GO:0045844	3084
skeletal_muscle	GO:0045844	3156
skeletal_muscle	GO:0045844	3479
skeletal_muscle	GO:0045844	3516
skeletal_muscle	GO:0045844	93649
skeletal_muscle	GO:0045844	4617
skeletal_muscle	GO:0045844	4654
skeletal_muscle	GO:0045844	4656
skeletal_muscle	GO:0045844	4851
skeletal_muscle	GO:0045844	4534
skeletal_muscle	GO:0045844	5300
skeletal_muscle	GO:0045844	6198
skeletal_muscle	GO:0045844	6474
skeletal_muscle	GO:0045844	6899
skeletal_muscle	GO:0045844	23414
skeletal_muscle	GO:0045844	7040
skeletal_muscle	GO:0045844	7472
skeletal_muscle	GO:0045844	7919
natural_killer_cell	GO:0060828	55366
natural_killer_cell	GO:0060828	8312
natural_killer_cell	GO:0060828	2308
natural_killer_cell	GO:0060828	2309
natural_killer_cell	GO:0060828	324
natural_killer_cell	GO:0060828	331
natural_killer_cell	GO:0060828	348
natural_killer_cell	GO:0060828	6591
natural_killer_cell	GO:0060828	4040
natural_killer_cell	GO:0060828	6714
natural_killer_cell	GO:0060828	65981
natural_killer_cell	GO:0060828	4790
natural_killer_cell	GO:0060828	8945
natural_killer_cell	GO:0060828	4851
natural_killer_cell	GO:0060828	2889
natural_killer_cell	GO:0060828	2932
natural_killer_cell	GO:0060828	1857
natural_killer_cell	GO:0060828	153090
natural_killer_cell	GO:0060828	3611
natural_killer_cell	GO:0060828	5300
natural_killer_cell	GO:0060828	6934
natural_killer_cell	GO:0060828	1432
natural_killer_cell	GO:0060828	3516
natural_killer_cell	GO:0060828	1500
natural_killer_cell	GO:0060828	54795
natural_killer_cell	GO:0060828	8452
natural_killer_cell	GO:0060828	5682
natural_killer_cell	GO:0060828	5683
natural_killer_cell	GO:0060828	5692
